skill_name,cluster_id,cluster_size
manufacturing of smoked tobacco products,697,6
informatica powercenter,9191,1
investigate complaints related to consumer protection,9176,1
operate bottom supported cable-propelled vehicles,8885,1
select acupuncture points,9228,1
legal requirements of ict products,6752,1
questioned document examination,9218,1
assess social work students,9018,1
textile measurement,829,2
encourage counselled clients to examine themselves,6809,1
maintain wardrobe,4807,1
tend drop forging hammer,7208,1
maintain genetic registers,4859,1
scan negatives,4181,2
perform virological test,8920,1
make set construction drawings,7007,1
document evidence,1415,2
wash gutted fish,5333,1
dry coated workpieces,6977,1
monitor the conformance to the project methodology,425,2
use technical documentation,1705,2
plan daily ship operations,7164,1
manufacture fur products,5412,1
manage vehicle inventory,8397,1
use animal chiropractic techniques,9255,1
illegal substances,8140,1
create 3d texture map,390,2
advise on merchandise features,5267,1
manufacture wearing apparel products,1122,2
roofing drones,8713,1
install irrigation systems,204,6
handle linen in stock,2899,2
attend parliament plenaries,5383,1
handle data samples,5558,1
help set performance schedule,5475,1
cognitive psychology,2495,4
remove road surface,5541,1
government policy implementation,841,4
sort textile items,5560,1
use hair removal techniques,3800,2
think analytically,5595,1
hydrocarbon cracking techniques,5903,1
promote cultural venue events,1781,5
perform fuel reconciliation,8361,1
refraction of the eye,9251,1
design buildings,410,2
social alliances,8655,1
register mail,1253,2
provide clinical psychological expert opinions,1559,2
food ethics,373,3
transfer logs,8821,1
prevent sea pollution,8663,1
holography,5904,1
apply antibacterial substance to teeth,6519,1
repair windshield wipers,5945,1
budgetary principles,8375,1
forensic physics,5989,1
work in a construction team,6378,1
arrange student accommodation,7393,1
assemble automotive batteries,3045,2
court interpreting,2449,2
printed circuit boards testing methods,5708,1
offer advice on diet-related concerns,6093,1
measure ph,7391,1
lay interlocking roof tiles,4676,1
condiment manufacturing processes,7885,1
"diagnose diseases of ear, nose, and throat",6200,1
prototyping development,3366,2
handle high voltage of airport lighting,6148,1
barbering techniques,2732,2
develop mobility programmes,9342,1
develop predictive models,5939,1
supervision of persons,9325,1
grade engineered wood,2740,2
monitor educational developments,2198,2
use equipment for hair care,6414,1
golf,6343,1
pesticides,1010,5
relay messages through radio and telephone systems,6394,1
manage pawnshop inventory,6412,1
deal with challenging people,6908,1
strive to conserve the composition of water,2007,2
analyse the comments of selected audiences,5165,1
inspect contracts for related grounds maintenance work,5743,1
graphite,6539,1
climatology,2512,2
collection management,6628,2
clinical perfusion,9120,1
use venepuncture procedure equipment,3740,2
decide on infestation treatment type,6952,1
exercise self-control,5046,1
evidence-based nursing care,8444,1
inspect semiconductor components,6713,1
understand written latvian,947,6
perform regular checks on rigging equipment,2813,2
internet governance,8847,1
operate warehouse record systems,4666,2
estimate costs in farm,2209,2
manage emergency care situations,521,3
lead technology development of an organisation,4688,1
perform playground surveillance,6897,1
mix concrete,434,4
maintain heat sealing machinery,1743,3
help coordinate promotional activities,524,2
engineer seismic equipment,3570,2
keep records of bridge investigation findings,6989,1
manage business knowledge,1985,3
match frames to pictures,7025,1
manage instrumentation systems,1926,2
demonstrate intercultural competence,356,5
ibm infosphere datastage,4156,2
handover the food preparation area,6751,1
film music techniques,7127,1
breed goats,8740,1
solve location and navigation problems by using gps tools,7155,1
analyse consumer buying trends,7178,1
estimate value of musical instruments,8990,1
sanitary technology,8984,1
inspect planed woodstock,7159,1
develop architectural plans,426,4
teach translation techniques,2486,2
dangers of marshalling activity,7317,1
follow health and safety precautions in social care practices,7205,1
handle honeycombs,7387,1
design miniature props,6540,1
coordinate construction activities,7388,1
communicate price changes,7439,1
install water purity mechanism,6969,1
report airport security incidents,8173,1
enforce company values,7445,1
apply art therapy interventions,627,7
plan rig moves,983,2
adolescent socialisation behaviour,491,2
evaluate entertainment programme,1097,2
tend metal fastener machine,1669,4
photoengraving,6192,1
assist multimedia operator,8157,1
"operate presses, dryers and control systems",2441,2
train religious professionals,7597,1
coach young people,7626,1
weigh fruits and vegetables,1944,2
sales argumentation,8891,1
protect important clients,1405,2
query languages,7313,1
apply research ethics and scientific integrity principles in research activities,7727,1
adapt to changes on a boat,7743,1
attach accessories to tile,7763,1
understand written italian,2425,3
emission standards,7826,1
position sole plates,8715,1
subsidiary operations,6386,1
file-based workflow,7939,1
implement airside safety procedures,4360,2
pack leather,5229,1
repair damaged paper parts,7929,1
keep stock records,8038,1
prepare tax returns forms,7623,1
contract law,8017,1
interpret mechanical mine machinery manuals,2014,2
execute safety assurance exercises,1729,2
renewable energy,5023,4
analyse financial performance of a company,6756,1
jewellery product categories,8092,1
make bowstrings,8109,1
perform office routine activities,7325,1
study court hearings,2787,2
conduct research on trends in design,8743,1
clean aquaculture stock units,202,2
develop computer vision system,9336,1
separate ink,3085,2
oversee the printing of touristic publications,1815,2
quality criteria for storage facilities,8306,1
participate in vine maintenance,8319,1
report on window damage,8333,1
liquidity management,8403,1
manage zoo staff,8367,1
assess students' preliminary learning experiences,8822,1
provide pre-natal care,3119,4
handle requests for new product items,8471,1
speak about your work in public,5399,1
check bottles for packaging,7664,1
determine cause of damage,8472,1
develop new installations,9297,1
carry out active selling,8505,1
turf management,3618,2
convert scribbles into virtual sketches,8631,1
types of sprinklers,8552,1
adjust fermentation processes,8562,1
impact of politics on sport delivery,5390,1
design brand's online communication plan,8116,1
operate hoists,8620,1
cure tobacco leaves,791,4
manage diversification of maritime operations,8685,1
hinduism,7286,3
document survey operations,6335,1
give battle commands,8716,1
operate road marking machine,7095,1
fabricate metal parts,1646,7
surgical instruments,6698,1
assembling processes and techniques for cemented footwear construction,909,5
coordinate oil well operations,8842,1
ensure fulfilment of legal requirements,1110,3
relaxation techniques,6946,1
operate smelter,5377,1
liaise with suppliers of sporting equipment,8917,1
frostbite (digital game creation systems),8939,1
design user interface,431,2
post-process of fish,8961,1
genomics,6550,1
produce content for tourism brochures,9016,1
make legislation transparent for users of social services,9025,1
state aid regulations,9059,1
perform internal investigations,7772,1
rebuff tyre,4741,1
financial jurisdiction,9175,1
manage art facilities staff,2137,2
transcribe texts,1424,2
create patterns for textile products,4385,2
football,8475,1
asphalt mixes,6947,1
customize diets to animals,9233,1
repair household appliances,9276,1
inspect compliance with hazardous waste regulations,9281,1
perform data cleansing,4683,1
pump paint,9157,1
cover v-belts with fabric,8236,1
oversee assembly operations,2931,2
provide feedback on patient's communication style,5145,1
disorders of vital functions,5891,1
oracle weblogic,4775,1
transfer designs on workpiece,184,2
coat printed circuit board,6297,2
heat jewellery metals,5466,2
internet of things,4847,1
teach university class,8515,1
perform basket weaving,4795,1
organise participation in local or international events,6959,1
operate a heat treatment process,8755,1
link data between all inland business units,7655,1
"apply knowledge of science, technology and engineering",4913,1
manage footwear quality systems,945,3
estimate budget for interior design plans,4939,1
move soil,4950,1
coordinate fish handling operations,7701,1
repair pipelines,8804,1
implement quality control procedures for biomedical tests,6105,2
provide information to passengers,443,3
identify information needs of young people,1141,2
arrange ordering of products for customers,733,2
data protection,1402,3
perform dental clinical examination,637,2
assemble prefabricated furniture,7911,1
apply colouring recipes,1924,2
develop food scanner devices,9054,1
sell books,2877,2
provide directions to guests,5181,1
define integration strategy,5231,1
undertake genetic risk assessment,8401,1
handle explosives,6544,2
understand written romani,1441,5
write work-related reports,489,3
manufacturing industrial braids,1444,3
postediting,5247,1
monitor coke quenching,9259,1
apply haccp,7497,1
test hardware,2334,2
measure company's sustainability performance,408,2
inspect material,8386,1
create a crowdfunding campaign,1535,2
manage communicable disease,599,4
information security strategy,8298,1
access to documents regulations,6052,1
maintain physical fitness,1598,2
work closely with news teams,7423,1
organise tree plantations,5238,1
modern power signalling systems,5433,1
brief staff on daily menu,5447,1
select music,1112,2
printing media,1301,4
apply liquid chromatography,8687,1
rigging terminology,7532,1
monitor aviation meteorology,3628,2
calculate betting target odds,5470,1
create thematic maps,8806,1
personal development,497,3
adapt to artists' creative demands,7260,1
install handrail,8619,1
promote company,728,2
advise on environmental alterations,9219,1
complete report sheets of activity,6256,1
human physiology,5581,1
high-performance liquid chromatography,5567,1
business analysis,1408,2
calculate allowances for shrinkage in casting processes,5643,1
develop inclusive communication material,5611,1
ensure vehicles are equipped with accessibility equipment,5626,1
report misfires,7153,1
advise horse owners on farriery requirements,8789,1
build scaffolding,437,3
work in professional sport environment,625,2
assist in the placement of gravestones,6023,1
record drilling,8777,1
ict networking hardware,1471,2
analyse a script,1689,2
tend cocoa cleaning machines,2856,2
think proactively to secure sales,1814,2
reforestation,558,2
property law,5810,1
ethnolinguistics,5839,1
implement efficiency plans for logistics operations,167,2
carry out artificial insemination of livestock,3586,2
understand written welsh,2089,3
assemble instrumentation equipment,1670,2
pick orders of agricultural products,5882,1
medicines for self-medication,4229,2
adjust cut sizes,5047,1
test moisture content,9181,1
deputise for the mine manager,6151,1
present menus,5927,1
practise extreme sports,5931,1
geographical routes,7371,1
analyse recorded sources,4877,1
perform gravity measurements,5983,1
order supplies,1135,3
financial engineering,6645,1
synthesise research publications,9213,1
work in drilling teams,289,3
support gifted students,1227,2
develop contingency plans for emergencies,1443,2
create wigs,2440,3
evaluate practice in psychotherapy,8635,1
create content title,5423,1
load cargo,4630,2
select material to process,7977,1
collect items for laundry service,7742,1
provide athletic equipment to clients,7802,1
store wine,5641,1
prepare doses of medication according to patient needs,8799,1
create cutting plan,7953,1
participate in rabbinical court proceedings,6206,1
disseminate information on tax legislation,6212,1
read zoo reports,9274,1
schoology,6165,1
think proactively,8726,1
escort defendants,6247,1
liaise with engineers,3139,2
examine trusts,731,2
financial forecasting,9067,1
stop speeding vehicles,6296,1
put adhesive on plies,9328,1
carry out auditions,1307,2
test oxygen purity,9268,1
communicate with customers,2222,4
types of cooktops,1357,2
media law,36,2
perform cosmetic procedures,490,3
apply digital mapping,8241,1
assist scientific research,1968,3
tend spice mixing machine,6408,1
perform eye surgery,6418,1
advise on funeral services,729,3
eye protection regulations,6172,1
operate hydraulic jack lift,8983,1
perform property market research,1578,2
curl hair,7189,1
types of piping,5696,2
study fish migration,2520,2
transport topography,6541,1
coordinate airport environmental policies,3271,3
tend laser marking machine,1515,2
implement sustainable procurement,6636,1
check architectural drawings on site,6564,1
monitor event activities,405,2
review construction plans authorisations,6582,1
helminthology,7709,1
forensic anthropology,2032,2
manage engine-room resources,6612,1
monitor quality of confectionery products,6633,1
binding technologies,5887,1
apply immigration law,51,3
comply with wildlife hazard management programmes,224,2
integrated food-energy systems,6691,1
prepare pieces for joining,6695,1
blockchain openness,5625,1
air transport law,5759,1
nutrients of confectionery,6709,1
complete evaluation forms of calls,6731,1
create musical instrument parts,41,6
primitive technology,6759,1
manage email hosting service,8507,1
network management system tools,6777,1
cut gem stones,5245,2
develop environmental remediation strategies,2069,3
demining operations,6807,1
perform granulation equipment transfer,8427,1
drive heavy duty trucks for snow removal,6808,1
consult shipping rates,7832,1
assist people trapped in confined spaces,3375,1
monitor service users' health,9185,1
gamemaker studio,8523,1
interrogate individuals,6883,1
examine merchandise,8087,1
manage government funding,2029,2
lipspeaking,5260,1
identify if a company is a going concern,7175,1
veterinary terminology,688,2
ajax framework,559,2
plan music therapy sessions,768,17
fertigation,1845,3
fill kettle,7468,1
"install heating, ventilation, air conditioning and refrigeration ducts",6996,1
measure trees,1942,2
promote evaluation capacity development,8252,1
furniture trends,7026,1
provide emergency training,334,3
teach speed reading,8824,1
breathing techniques,7058,1
history of literature,7071,1
fossil fuels,7074,1
handle tenant changeover,9033,1
screen television series pilots,8191,1
make film shooting schedule,9303,1
manufacturer's recommended price,5227,1
plan youth programmes,3701,2
dies,7199,1
manage recycling program budget,8551,1
ceramic ware,1423,2
create advertisements,1678,3
cold chain,4739,1
supervise cage net systems,7206,1
comply with veterinary inspection standards,4084,2
ict market,8088,1
develop opportunities for progression in sport,9236,2
motivate employees,7710,1
seek innovation in current practices,8583,1
adjust the work during the creative process,6438,1
build machines,7277,1
agile development,7157,1
cope with uncertainty,5341,1
purchase automotive equipment,7296,1
support social service users' positiveness,7318,1
create script for artistic production,7334,1
animate in the outdoors,7399,1
phoniatrics,7363,1
plant harvest methods,7407,1
understand written irish,849,4
liaise with industry experts,3154,2
manage office appliance requirements,7449,1
create digital files,409,2
university procedures,7447,1
farrier industry,7156,1
monitor electric generators,7478,1
manage distribution channels,122,4
provide power distribution,5860,1
roasting coffee,7039,1
parimutuel betting,7542,1
plan event marketing for promotional campaigns,7484,1
design beer recipes,8995,1
file documents,7567,1
security in industrial buildings,1872,2
understand the animal's situation,7594,1
young horses training,8394,2
consider constraints in maritime shipping,8744,1
carry out pre-flight duties,336,2
lead board meetings,2194,2
perform oil clarification with boiling methods,6234,1
attach roofing cover,7644,1
manage manufacturing documentation,7649,1
types of trams,727,2
define the visual universe of your creation,7745,1
surveying methods,961,4
process incoming electrical supplies,2191,2
develop physiotherapy services,86,8
maintain landscape site,7571,1
sport psychology,7721,1
assess potential gas yield,7711,1
operate testbeds,7096,1
eu law,5335,1
manage production changeovers,7769,1
handle delivered packages,8665,1
operational research,8941,1
perform transcranial magnetic stimulation,8343,1
mathematical physics,1076,2
calculate needs for construction supplies,904,2
follow a tech pack,7667,1
inspect industrial equipment,2012,4
advise  on maintenance of parquet floors,7831,1
operate gas turbines,7851,1
assist customers in selecting music and video recordings,4978,1
use presentation software,2005,2
cast cell covers,7903,1
manage visitor flows in natural protected areas,7896,1
sell services,1713,2
analyse market financial trends,7913,1
maintain moulds,190,2
advise guests on menus for special events,6216,1
food fraud,5979,1
perform maintenance work on rail tracks,3847,2
yeast fermentation principles,7951,1
conduct public presentations,4079,2
develop product policies,7757,1
plan supply chain logistics for footwear and leather goods,1314,2
print stripping,6650,1
test absorbency,5029,1
renew artistic practice,8002,1
risks associated with undertaking fishing operations,4900,2
industrial research and development,8019,1
keep up with language evolution,8042,1
persuade clients with alternatives,7526,1
organism taxonomy,7049,1
plan logging operations,8047,1
types of bleach,7624,1
prevent casting adhesion,8077,1
perform import of commodities,2165,2
maintain telephony system,8000,1
maintain computer hardware,8095,1
c++,3911,2
advertise travel insurance,8115,1
manage online communications,8325,1
ict system integration,248,2
flexography,8519,1
test procedures in electricity transmission,8356,1
assess operating cost,8154,1
revise quality control systems documentation,8165,1
ict sales methodologies,8265,1
repair furniture parts,8174,1
pleat fabrics,8183,1
milk animals,8192,1
cad for garment manufacturing,4057,1
ensure escape routes,8365,1
perform oral health diagnosis,8259,1
set up portable field transmission equipment,8283,1
purchase car materials,8273,1
provide treatment strategies for challenges to human health,8281,1
ensure compliance with accounting conventions,2936,2
types of membranes,5865,1
abrasive blasting processes,3817,2
arrange security of goods for auction,7395,1
extract products from coquilles,8345,1
manage air navigation services,7525,1
install spring suspension,6547,1
read 3d displays,6273,1
operate bevelling machine,8389,1
follow up pipeline integrity management priorities,5459,1
fundamental analysis,8411,1
negotiate rights of use,7353,1
compare survey computations,7246,1
store raw food materials,8422,1
perform body searches,8491,1
deliver aquatic products to customer specifications,8530,1
telecom regulations,8445,1
perform antepartum fetal monitoring,8376,1
create definitions,8521,1
nursing science,8470,1
liaise with typists,8499,1
maintain professional administration,8500,1
understand written berber,542,4
spray slabs,8528,1
spiral development,8940,1
monitor oil blending process,8544,1
network within the writing industry,8559,1
assist children with homework,7845,1
counsel on nutrition and its impact on oral health,8569,1
oracle application development framework,7030,1
supervise the maintenance of military equipment,8277,1
take pharmaceutical inventory,8307,1
budget for financial needs,8609,1
organise compositions,5787,1
operate climate control,6127,1
safe street sweeping procedures in traffic,8641,1
multi-professional cooperation in health care,902,2
holding company activities,8664,1
communicate vessel requirements,8668,1
administer drugs to facilitate breeding,5369,1
raise hens,8681,1
aquatic ecology,3230,2
toys and games industry,7321,1
techniques for doll creation,1848,3
fill nail holes in wood planks,6804,1
convert different audiovisual formats,1587,2
conduct workplace audits,8730,1
prospect new customers,8741,1
customise project methodologies,8745,1
organise operations of residential care services,8763,1
manage spat collection equipment,8765,1
rope manipulation,60,3
collect geological data,407,4
receive appropriate permissions for use of recorded audiovisual examples,8819,1
demonstrate trustworthiness,2758,2
manage ict virtualisation environments,8753,1
cadastral taxation,9037,1
islamic studies,8834,1
monte carlo simulation,2067,2
advise on corporate social responsibility,2485,2
perform stunts,8969,1
revise legal documents,5806,1
finish medical devices,8886,1
organise property viewing,6213,1
follow safety precautions in a gaming room,8901,1
take pictures,8964,1
psychological effects of war,8287,1
implement risk management for outdoors,4469,1
pharmacy law,8942,1
ensure compliance with types of weapons,8396,1
comply with regulations,446,6
help set rehearsal schedule,8404,1
ensure health and safety in manufacturing,2073,2
operate sugar washing systems,7786,1
manage ict legacy implication,9189,1
tune stringed musical instruments,9007,1
surveillance methods,9021,1
conduct psychological research,9035,1
cooperate with professionals,9039,1
design medical devices,244,5
process data from railway control rooms,181,2
imprint visionary aspirations into the business management,9139,1
manage processes,2773,3
inspect cylinders,175,3
conduct neurological examination,1033,3
exercise stewardship,9122,1
analyse legal evidence,187,2
monitor rail pickup machine,3142,2
use of specialised instruments in otorhinolaryngology,9153,1
evaluate art quality,9179,1
write charity grant proposals,9187,1
apply military aviation regulations,3130,2
markets for modes of transport,7422,1
deliver online training,6949,1
perform selective demolition,613,3
unity (digital game creation systems),9227,1
assemble telecommunications devices,6554,1
operate life-saving appliances,9245,1
observe new developments in foreign countries,9287,1
work in a rail transport team,1708,2
maintain ground,9194,1
abbyy finereader,8535,1
vyper,5339,1
ict help platforms,8449,1
operate digital printers,9302,1
maintain stage weapons,1080,6
check ride communications,4707,1
domestic heating systems,209,3
combination of flavours,4693,1
light auxiliary gas jets,8071,1
rig automated lights,1500,2
advise on loans of art work for exhibitions,4705,1
inspect rail flaws,89,3
tend bleacher,5182,1
consult with production director,4100,2
perform wagon coupling,9149,1
lay tiles,580,2
develop a pedagogical concept,2519,2
energy performance of buildings,7593,1
grain dehydration recipes,4747,1
handle intermodal equipment,4756,1
carry out project activities,6938,1
development delays,4797,1
attach protective attachments to timber piles,4777,1
follow environmentally sustainable work practices in the veterinary sector,9096,1
apply procedures and regulations for eco-labelling,6171,1
lighting techniques,7946,2
measure yarn count,6565,1
develop travel charter programme,6221,1
tend water jet cutter machine,4827,1
tend lime-kiln,8122,1
challenge patient behaviour by means of art,748,2
participate in scientific colloquia,4836,1
board aircraft passengers,7059,1
traffic engineering,9161,1
map the mantle of the earth,4711,1
administer ingredients in food production,937,2
organise musical events,2400,2
maintain the farm,232,2
paper production processes,885,2
apply psychoanalysis,4533,2
operate bale presses,5697,1
materials of die,5130,1
exercise security in hospitals,4895,1
analyse milled grains,221,2
participant observation,4904,1
clean drink dispense lines,6693,1
facial gymnastics,4959,1
operate microscope,4941,1
identify drying defects in wood,8915,1
types of wallpaper,4951,1
paint decorative designs,9005,1
manage humanitarian aid,934,7
national pesticide legislation,1592,2
rheumatology,8614,1
carve materials,6502,1
take room service orders,713,2
authorise occupancy of rail tracks,5594,1
coordinate transportation,666,2
set up a multi-track recording,1979,3
types of photovoltaic panels,199,2
review civil documentation,5020,1
fill the vat with specific ingredients,7601,1
create rough cut,5847,1
perform endoscopy,2091,2
control animals in distress,855,2
interpret automatic call distribution data,5077,1
calculate value of gems,5067,1
attend design meetings,5082,1
use solvents,6278,1
trading law,5090,1
functions of vessel deck equipment,6815,1
position engine on test stand,9177,1
core banking software,5113,1
transfer glaze,8337,1
appropriate raw materials for specific spirits,6168,1
use different communication channels,735,2
draft tender documentation,1220,2
spot other climbers,5136,1
generate reconciliation reports,9231,1
test film processing machines,7087,1
3d body scanning technologies,430,2
define prop building methods,7557,1
manage legal personal issues,5156,1
maintain safe working conditions in performing arts,8922,1
conduct polysomnography,5147,1
types of spring,5197,1
prepare animal therapy equipment,1344,2
maintenance of footwear manufacturing machines,1215,3
lay pipe installation,7843,1
tend straightening press,9337,1
understand written finnish,2015,3
air force operations,8027,1
linguistics,1212,2
ask questions at events,5235,1
collect growth rate information,1733,2
implement scientific decision making in healthcare,7356,1
use meteorological information,940,4
fill out forms,5921,1
provide an enriching environment for animals,278,3
compaction techniques,5255,1
identify health objectives,5107,1
coordinate music with scenes,9339,1
interact with an audience,2558,3
monitor use of outdoor equipment,8805,1
prepare warranty documents for electrical household appliances,7897,1
advise sportspersons on diet,1294,2
support social service users to live at home,8313,1
stir herbs in vats,5331,1
manage the health and welfare of livestock,2217,3
draft legends,4896,1
keep an open mind,5407,1
mix construction grouts,5345,1
types of sanders,8103,1
maintain forest inventory,6133,1
use stone splitting techniques,1501,2
incremental development,639,2
use cad software,3841,3
whitehat sentinel,5351,1
instruct in military duties,8197,1
provide health counselling,3594,4
focus stage lights,1597,2
postgresql,5411,1
support sport in media,5627,1
teach music principles,80,2
coordinate pre-show checks,5401,1
legislation in agriculture,1976,2
coordinate mouldmaking shifts,7584,1
prepare meals for flights,8921,1
apache tomcat,7365,1
create special effects,8467,1
student financial aid programmes,7828,1
operate metal polishing equipment,1634,3
measure the strength of distillation,9143,1
hardware materials,5454,1
fire-fighting systems,822,2
special needs learning equipment,3573,2
insert charges into drill holes,5846,1
review completed contracts,7276,1
xcode,9107,1
tend kiln for glass painting,1935,2
advise on environmental risk management systems,5438,1
tropical medicine,7515,1
apply nail polish,5512,1
embryology,8260,1
think holistically,6874,1
define risk policies,5563,1
use e-health and mobile health technologies,7230,1
electricity principles,3156,2
lead hiking trips,7643,1
clarify how various components work together,5589,1
develop a choreographic work,594,5
review insurance process,5562,1
bind wire,6294,1
types of orthopedic supplies,5571,1
approve packaging design,2055,2
operation of lifting gears,5583,1
swim,6606,1
adjust voltage,9055,1
perform liquid penetrant tests,5599,1
lift safety mechanisms,4254,2
regulate the speed of ships in ports,5617,1
textile technologies,68,9
clinical decision-making at advanced practice,1306,2
interpret performance concepts in the creative process,533,2
provide railway technical advice,241,4
gas market,5646,1
micro mobility devices,5612,1
maintain freelance database,5693,1
style hair,3240,3
implement relevant technical skills to perform at the highest level in sport,1164,2
handle cash flow,5680,1
shunt rolling stock in marshalling yards,9305,1
promote psycho-social education,9150,1
salt (tools for software configuration management),7440,2
electric drives,1656,4
position outriggers,5675,1
provide care for a particular patient group,8102,1
make photographic storyboards,1364,2
assess hydrogenation levels of edible oils,2227,2
communicate specialised veterinary information,4430,2
comply with policies for trolley bus driving,7462,1
plants contribution to indoor climate and health conditions,8875,1
develop energy policy,2652,2
use treatment verification systems,7255,1
visual basic,8906,1
apply thermotherapy,6086,1
apply for refunds,7870,1
plan,8105,1
advise on clay products handling,9290,1
track price trends,5831,1
assess others feelings,6819,1
tuning techniques,5867,1
give out grants,5832,1
apply proofing membranes,5493,1
sword fighting,5895,1
ensure health and safety of staff,1435,4
perform on-farm product processing,5857,1
communicate with customer service department,5864,1
measure working time in goods production,5875,1
paint tyres,1322,2
rear food fish,7931,1
cast concrete sections,8156,1
develop pension schemes,3176,2
healthcare data systems,1980,2
sequence explosions,7282,1
use object-oriented programming,8651,1
