topic_name,topic_description
Artificial intelligence,field of computer science and engineering practices for intelligence demonstrated by machines and intelligent agents
Sociology,"scientific study of human society and its origins, development, organizations, and institutions"
Pathology,study and diagnosis of disease
Law,"system of rules and guidelines, generally backed by governmental authority"
Ecology,scientific study of the relationships between living organisms
Composite material,material made from a combination of two or more unlike substances
Cell biology,scientific discipline that studies cells
Geology,"study of the composition, structure, physical properties, and history of Earth's components, and the processes by which they are shaped"
Programming language,language designed to communicate instructions to a machine
Optics,branch of physics concerning light
Endocrinology,medical specialty
Immunology,branch of medicine studying the immune system
Business,"organization involved in commercial, industrial, or professional activity"
Neuroscience,scientific study of the central nervous system
Statistics,"study of the collection, organization, analysis, interpretation, and presentation of data"
Environmental science,interdisciplinary field that studies human interaction with the environment
Nanotechnology,field of applied science whose theme is the control of matter on atomic and (supra)molecular scale
Surgery,medical specialty
Paleontology,scientific study of the past of life on Earth through fossils
Geometry,branch of mathematics regarding geometric figures and properties of space
Population,"ensemble of individuals of a species in an area, or their number"
Linguistics,study of human language
Psychiatry,"branch of medicine devoted to the study, diagnosis, treatment, and prevention of mental disorders"
Thermodynamics,"branch of physics concerned with heat, work, temperature, and thermal or internal energy"
Mathematical analysis,branch of mathematics
Social psychology,"scientific study of social effects on people's thoughts, feelings, and behaviors"
Epistemology,branch of philosophy studying the nature and scope of knowledge
Chromatography,set of laboratory techniques for the separation of mixtures
Operating system,software that manages computer hardware resources
Environmental health,public health branch focused on environmental impacts on human health
Disease,abnormal condition negatively affecting organisms
Metallurgy,domain of materials science that studies the physical and chemical behavior of metals
Receptor,protein molecule receiving signals in or for a cell
Chemical engineering,"branch of science that applies physical sciences and life sciences together with applied mathematics and economics to produce, transform, transport, and properly use chemicals, materials and energy"
Archaeology,study of human past through material culture
Cancer,disease result from abnormal continuous division of the live cells
Catalysis,chemical process which accelerates a chemical reaction
Botany,science of plant life
Algorithm,unambiguous specification of how to solve a class of problems
Physical chemistry,"study of macroscopic, atomic, subatomic, and particulate phenomena in chemical systems in terms of laws and concepts of physics"
Enzyme,class of biological molecules with catalytic activity
Demography,science that deals with populations and their structures statistically and theoretically
Optoelectronics,branch of electronics involving optics
Mechanical engineering,engineering discipline
Machine learning,scientific study of algorithms and statistical models that computer systems use to perform tasks without explicit instructions
Politics,"practice and theory of influencing other people, as in government"
Electrical engineering,field of engineering that deals with electricity
History,"past events and their tracks or records, studied by various branches of human sciences of history"
Molecular biology,branch of biology that deals with the molecular basis of biological activity
Art,expressive work intended to be appreciated for its beauty or emotional power; or the process of creating such a work
World Wide Web,system of interlinked hypertext documents accessed via the Internet
Telecommunications,electronic transmission of information between locations
Cancer research,"research into cancer to identify causes and develop strategies for prevention, diagnosis, treatment, and cure"
Finance,"academic discipline studying businesses, financing, investments and protection of economic value"
Pharmacology,study of the interactions that occur between a living organism and chemicals that affect normal or abnormal biochemical function
Anatomy,study of the structure and parts of organisms
Microbiology,study of microscopic organisms
Oceanography,branch of Earth science that studies the ocean
Computational biology,"data-analytical and theoretical methods, mathematical modeling and computational simulation techniques to the study of biological, behavioral, and social systems"
Bacteria,domain of prokaryotes
Alternative medicine,form of non-scientific healing
Pure mathematics,mathematics which studies entirely abstract concepts
Social science,academic discipline concerned with society and the relationships
Context (archaeology),glossary for archaeological terms
Developmental psychology,scientific study of changes that occur in human beings over the course of their lives
Virology,study of viruses
Crystallography,study of crystals
Radiology,specialty that uses medical imaging to diagnose and treat diseases seen within the body
Mechanics,science concerned with physical bodies subjected to forces or displacements
Inorganic chemistry,study of the synthesis and behavior of inorganic and organometallic compounds
Clinical psychology,integration of science and clinical knowledge for the purpose of relieving psychologically based dysfunction
Polymer,substance composed of macromolecules with repeating structural units
Economic growth,Increase in production and consumption in an economy
In vitro,Latin term meaning outside a natural biological environment
Food science,applied science devoted to the study of food
Cardiology,branch of medicine dealing with disorders of the heart as well as parts of the circulatory system
Condensed matter physics,branch of physics
Meteorology,interdisciplinary scientific study of the atmosphere
Marketing,economic activity encouraging purchase or sale of products or services in a market
Computer security,"the protection of computer systems and networks from theft, damage, misuse or data leak"
Nursing,activity within the health care sector
Cognitive psychology,subdiscipline of psychology
Library science,"the application of practices, methods, technologies, tools of management, education, training, perspectives, and related areas, to the organized collection and the systematic classification of information in libraries"
Evolutionary biology,sub-field of biology
Power (physics),"rate at which energy is transferred, used, or transformed"
Cognition,"mental action or process of acquiring knowledge and understanding through thought, experience, and the senses"
Acoustics,"science that deals with the study of all mechanical waves in gases, liquids, and solids including vibration, sound, ultrasound and infrasound"
Astronomy,scientific study of celestial objects and phenomena
Analytical Chemistry (journal),journal
Electrode,"electrical conductor used to make contact with a nonmetallic part of a circuit (e.g. a semiconductor, an electrolyte or a vacuum)"
Immune system,biological system
Combinatorics,branch of discrete mathematics
Computer network,network that allows computers to share resources and communicate with each other
Intensive care medicine,"medical care subspecialty, treating critically ill"
Macroeconomics,branch of economics that studies aggregated indicators
Biophysics,study of biological systems using methods from the physical sciences
Anesthesia,state of medically controlled temporary loss of sensation or awareness
Agronomy,"science and technology of producing and using plants for food, fuel, fiber, and reclamation"
Stereochemistry,subdiscipline of chemistry about stereoisomers and the relative spatial arrangement of atoms
Physical therapy,health profession that aims to address the illnesses or injuries that limit a person's abilities to function in everyday lives
Econometrics,academic discipline
Environmental chemistry,scientific study of the chemical and biochemical phenomena that occur in natural places
Computer vision,computerized information extraction from images
Data mining,"process of discovering patterns in large data sets using computational methods at the intersection of statistics, database systems, or machine learning"
Management,"administration of an organization, including activities to set the strategy of an organization and coordinate employees to accomplish its objectives"
Ion,"atom or molecule in which the total number of electrons is not equal to the total number of protons, giving the atom a net positive or negative electrical charge"
Gastroenterology,branch of medicine focused on the digestive system and its disorders
Geotechnical engineering,scientific study of earth materials in engineering problems; branch of civil engineering concerned with the engineering behavior of earth materials
Antibody,immune system protein
Pediatrics,field of medicine dealing with the care of children
Mathematical optimization,study of mathematical algorithms for optimization problems
Cell,the basic structural and functional unit of all organisms
Atomic physics,field of physics studying atoms
Molecule,"electrically neutral entity consisting of more than one atom (n > 1); rigorously, a molecule, in which n > 1 must correspond to a depression on the potential energy surface that is deep enough to confine at least one vibrational state"
Pedagogy,study of education
Control (management),"function of management which helps to check errors in order to take corrective actions, minimize deviation from standards and ensure that the stated goals of the organization are achieved in a desired manner"
Psychotherapist,clinically applied psychology for desired behavior change
Process (computing),particular execution of a computer program
Structural engineering,sub-discipline of civil engineering dealing with the creation of man made structures
Oncology,branch of medicine dealing with cancer
Pregnancy,time when children develop inside the mother's body before birth
DNA,molecule that encodes the genetic instructions used in the development and functioning of all known living organisms and many viruses
Mathematics education,"mathematics teaching, learning and scholarly research"
Zoology,study of the animal kingdom
Membrane,"thin, film-like structure that separates two fluids, acting either as a selective barrier or a separating structure"
Citation,reference to a source
Pattern recognition (psychology),cognitive process that matches information from a stimulus with information retrieved from memory
Classical mechanics,"sub-field of mechanics, which is concerned with the set of physical laws describing the motion of bodies under the action of a system of forces"
Signal transduction,cellular process in which a signal is conveyed to trigger a change in the activity or state of a cell
Image (mathematics),set of all values of a function
Family medicine,medical specialty
Nuclear physics,field of physics that deals with the structure and behavior of atomic nuclei
Set (abstract data type),abstract data type in computer science
Confidence interval,type of interval estimate (of a population parameter) that is computed from observed data
Virus,"non-cellular, submicroscopic infectious agent that replicates only inside the living cells of an organism"
Applied mathematics,discipline of mathematics
Adsorption,"adhesion of atoms, ions, or molecules from a substance to a surface"
Biotechnology,use of living systems and organisms to develop or make useful products
Public relations,broad term for the management of public communication of organizations
Diabetes mellitus,group of metabolic disorders characterized by high blood sugar levels over a prolonged period
Layer (electronics),"in electronics, a single thickness of some material covering a surface"
Microeconomics,branch of economics that studies the behavior of individual households and firms in making decisions on the allocation of limited resources
Polymer chemistry,"chemistry subdiscipline that deals with the structures, chemical synthesis and properties of polymers"
Gerontology,"study of the social, psychological and biological aspects of aging"
Information retrieval,activity of obtaining information resources relevant to an information need from a collection of information resources
Aerospace engineering,branch of engineering
Composite number,positive integer that has at least one positive divisor other than 1 or itself
Astrophysics,branch of astronomy
Anthropology,science of humanity
Statistical physics,branch of physics
Inflammation,signs of activation of the immune system
Data science,interdisciplinary field of study focused on deriving knowledge and insights from data
Humanities,academic disciplines that study human culture
Nanoparticle,particle with size less than 100 nm
Bioinformatics,study of biological data and sequences
Waste management,"generation, prevention, characterization, monitoring, treatment, handling, reuse and residual disposition of solid wastes"
Voltage,difference in the electric potential between two points in space
Randomized controlled trial,"experimental method designed to reduce bias, typically accomplished by randomly allocating subjects to two or more groups, with one being a control group"
Fishery,the enterprise of raising or harvesting fish or other aquatic organisms
Photochemistry,sub-discipline of chemistry
Knowledge management,"process of creating, sharing, using and managing the knowledge and information of an organization"
Database,organized collection of data in computing
Function (biology),reason some object or process occurred in a system that evolved through a process of natural selection
Apoptosis,programmed cell death process
Electron,subatomic particle with negative electric charge
Work (physics),energy transferred to an object via the application of force on it through a displacement
Nonlinear system,system in which the change of the output is not proportional to the change of the input
Perception,"organization, identification, and interpretation of sensory information in order to represent and understand the environment in the brain"
Field (mathematics),commutative ring in which every nonzero element is inversible
Combinatorial chemistry,chemical methods designed to rapidly synthesize large numbers of chemical compounds
Electronic engineering,"electrical engineering discipline which utilizes nonlinear and active electrical components to design electronic circuits, devices, and their systems"
Health care,prevention of disease and promotion of wellbeing
Blood pressure,pressure exerted by circulating blood upon the walls of blood vessels
Metal,"element, compound or alloy that is a good conductor of both electricity and heat"
Nuclear chemistry,the chemistry of different nuclear reactions and radioactive materials
Dentistry,branch of medicine dealing with oral health and teeth
Hormone,chemical released by a cell or a gland in one part of the body that sends out messages that affect cells in other parts of the organism
Cartography,study of making maps
Literature,"polysemous term referring to a written art form, and the set of literary work"
Horticulture,"culture of plants, mainly for food, materials, comfort and beauty"
Incidence (geometry),binary relation in geometry
Laser,device which emits light via optical amplification
Communication,act of conveying intended meanings from one entity or group to another through the use of mutually understood signs and rules
Chemical physics,subdiscipline of chemistry and physics
Computational chemistry,branch of chemistry
Phase (matter),"region in a substance throughout which all physical properties are essentially uniform; region of material that is chemically uniform, physically distinct, (often) mechanically separable"
Amino acid,"organic compound containing both amino and acidic functional groups, important in biology"
In vivo,"studies in which the effects of various biological entities are tested on whole, living organisms"
Physical medicine and rehabilitation,branch of medicine
Artificial neural network,"computational model used in machine learning, based on connected, hierarchical functions"
Climatology,study of climate
Soil water,The field of study related to Soil water.
MEDLINE,biomedical bibliographical database
Environmental engineering,integration of sciences and engineering principles to improve the natural environment for life
Aqueous solution,solution in which the solvent is water
Antibiotics,drug used in the treatment and prevention of bacterial infections
Psychological intervention,The field of study related to Psychological intervention.
Mineralogy,scientific study of minerals
Range (aeronautics),distance a vehicle can travel
Climate change,current rise in Earth's average temperature and related large-scale shifts in weather patterns
Animal science,"science and business of producing domestic livestock species, including but not limited to beef cattle, dairy cattle, horses, poultry, sheep, and swine, and of nutrition, care, and welfare of companion animals"
Theoretical computer science,subfield of computer science and mathematics
Soil science,study of soil as a natural resource on the surface of the earth
Atmospheric sciences,umbrella term for the study of the atmosphere
Central nervous system,"main information-processing organs of the nervous system, consisting of the brain, spinal cord, and meninges"
Anxiety,"unpleasant complex combination of emotions that includes fear, apprehension and worry, and is often accompanied by physical sensations such as palpitations, nausea, chest pain and/or shortness of breath"
Public health,"science and art of preventing disease, prolonging life and promoting health through organized efforts and informed choices of society, organizations, public and private, communities and individuals"
Scale (ratio),proportional ratio of a linear dimension of a model to the same feature of the original
Accounting,"measurement, processing and communication of financial information about economic entities"
Antioxidant,molecule that inhibits the oxidation of other molecules
Stem cell,undifferentiated biological cells that can differentiate into specialized cells
Antigen,molecule capable of inducing an immune response (to produce an antibody) in the host organism
Magnetic field,vector field that describes the magnetic influence of electric charges in relative motion
Chemotherapy,drug therapy against cancer or infections
Quality (philosophy),characteristic trait that differentiates an entity
Obesity,medical condition in which individuals have an excess of body fat
Medical education,education related to the practice of being a medical practitioner
Gender studies,interdisciplinary academic field devoted to analysing gender identity and gendered representation
Geochemistry,science that applies chemistry to geological systems
Agriculture,"cultivation of life forms for food, fiber, biofuel and other products used to sustain life"
Geomorphology,scientific study of landforms and the processes that shape them
Aesthetics,"branch of philosophy dealing with the nature of art, beauty, and taste"
Mathematical physics,use of mathematics to solve physics problems
Remote sensing,"acquisition of information about an object or phenomenon without making physical contact with the object, especially the Earth"
Microstructure,small-scale structure of material
Audiology,"branch of science that studies hearing, balance, and related disorders"
Dermatology,"branch of medicine dealing with the hair, nails, skin, and their diseases"
Ecosystem,"community of living organisms together with the nonliving components of their environment, interacting as a system"
Visual arts,art form which creates works that are primarily visual in nature
Psychoanalysis,psychological theory that was founded in 1890 by the Viennese neurologist Sigmund Freud
Cohort,"in statistics, marketing and demography, a group of subjects who share a defining characteristic"
Geodesy,"earth science of accurately measuring and understanding three of Earth's fundamental properties: geometric shape, orientation in space, and gravitational field"
Market economy,capitalist economy
Social media,"interaction among people in which they create, share, and/or exchange information and ideas in virtual communities and networks"
Gynecology,science of the treatment of diseases of the female sexual organs and reproductive tract
Perspective (graphical),form of graphical projection where the projection lines converge to one or more points
Software,non-tangible executable component of a computer
Fluorescence,emission of light by a substance that has absorbed light
Poison control,medical service that provides over-the-phone advice on poison exposure
Cell culture,process by which cells are grown under controlled conditions
Magnetic resonance imaging,non-destructive technique for imaging internal structures of objects or organisms
Embedded system,computer system with a dedicated function within a larger mechanical or electrical system.
Insulin,biosynthetic insulin used as injectable medication
Task (project management),activity that needs to be accomplished within a defined period of time
Hydrology (agriculture),"study of water balance components intervening in agricultural water management, especially in irrigation and drainage"
Environmental resource management,management of human interaction with the environment
State (computer science),set of instantaneous values of all variables to which a system or computer program has access
Cognitive science,interdisciplinary scientific study of the mind and its processes
Quantum,minimum amount of any physical entity involved in an interaction
Habitat,"ecological or environmental area inhabited by a particular species; natural environment in which an organism lives, or the physical environment that surrounds a species population"
Operations management,area of management concerned with designing and controlling the process of production and redesigning business operations
Theoretical physics,branch of physics
Physiology,science regarding function of organisms or living systems
Biomedical engineering,application of engineering principles and design concepts to medicine and biology for healthcare purposes
Human–computer interaction,academic discipline
Finite element method,numerical method for solving physical or engineering problems
Epidemiology,"study of the patterns, causes, and effects of health and disease conditions"
Nuclear medicine,medical specialty
Industrial organization,branch of economics
Medicinal chemistry,scientific branch of pharmaceutical chemistry
Odds ratio,Statistic quantifying the association between two events
Value (mathematics),notion in mathematics
Oxide,chemical compound with at least one oxygen atom
Medical emergency,injury or illness that is acute and poses an immediate risk to a person's life or long term health
Oxygen,chemical element with symbol O and atomic number 8
Depression (economics),"sustained, long-term downturn in economic activity in one or more economies"
Order (exchange),instruction from customers to brokers to buy or sell on a stock exchange
Meta-analysis,statistical method that summarizes data from multiple sources
Discrete mathematics,study of discrete mathematical structures
Management science,study of problem-solving in human organizations
Fish <Actinopterygii>,class of fishes
Channel (broadcasting),"broadcasting term; range of frequencies (or, equivalently, wavelengths)"
China,country in East Asia
Systems engineering,interdisciplinary field of engineering and engineering management that focuses on how to design and manage complex systems over their life cycles
Oxidative stress,free radical toxicity
Obstetrics,"field of study concentrated on pregnancy, childbirth, and the postpartum period"
Crystal structure,unique arrangement of atoms or molecules in a crystalline liquid or solid
Nuclear magnetic resonance,spectroscopic technique relying on the energy difference between the quantum spin states of electrons when exposed to an external magnetic field
Drug,chemical substance having an effect on the body
Myocardial infarction,interruption of blood supply to a part of the heart
Operations research,discipline that deals with the application of advanced analytical methods to help make better decisions
Distributed computing,system whose components are located on different networked computers
Government (linguistics),"in linguistics, relationship between word and its dependents"
Natural language processing,field of computer science and linguistics
Lung,essential respiration organ in many air-breathing animals
Stimulation,Providing something that rouses the recipient to activity
Political economy,"study of production, buying, and selling, and their relations with law, custom, and government"
Transplantation,Wikimedia disambiguation page
Mathematical economics,application of maths in economy
Clinical trial,interventional study in clinical research
Production (economics),act of creating goods or services
Flow (mathematics),mathematical formalization of the motion of particles in a fluid
Monetary economics,branch of economics that studies different theories of money
Process management,ensemble of activities of planning and monitoring the performance of a business process
Kinase,"class of enzymes that catalyze the transfer of phosphate groups from high-energy, phosphate-donating molecules to specific substrates"
Seismology,scientific study of earthquakes
Service (business),"subset of economic services, which are concerned about the building of service systems in order to deliver value to their customers"
Immunohistochemistry,common application of immunostaining
Ophthalmology,field of medicine treating eye disorders
Art history,academic study of objects of art in their historical development
Icon,programming language
Structural basin,geological depression
Sample (material),"limited quantity of something which is intended to be similar to and represent a larger amount of that thing(s) (could be countable objects such as individual items available as units for sale, or a material not countable as individual items)"
Intracellular,Wikimedia glossary list article
Sediment,particulate matter that is deposited on the surface of land
Nutrient,chemical that an organism needs to live and grow
Scanning electron microscope,type of electron microscope
Tectonics,processes that control the structure and properties of the Earth's crust and its evolution through time
Logistic regression,statistical model
Spectral line,optical phenomenon
Intervention (counseling),orchestrated attempt to get someone to seek help with an addiction or other problem
Software engineering,application of systematic approaches to developing software
Heart failure,condition in which the heart is unable to provide sufficient pump action
Porosity,ratio of void volume and total volume of a porous material
Identification (biology),process of assigning a pre-existing taxon name to an individual organism
Mental health,level of psychological well-being
Absorption (acoustics),transfer of sound energy into internal energy of the absorber
Adverse effect,undesired harmful effect resulting from a medication or other medical intervention
Traditional medicine,medicine based on traditional beliefs
Scattering,general physical process where waves are forced to deviate from a straight trajectory due to localized non-uniformities in the medium through which they pass
Turbulence,motion characterized by chaotic changes in pressure and flow velocity
Emergency medicine,medical specialty concerned with care for patients who require immediate medical attention
Key (lock),mechanical or electronic fastening device
Test (biology),"hard shell of some spherical marine animals, notably sea urchins and microorganisms such as testate foraminiferans, radiolarians, and testate amoebae"
Advertising,"form of communication for marketing, typically paid for"
Alloy,mixture or metallic solid solution composed of two or more elements
Graphene,two-dimensional crystalline structure of carbon
Wireless,transfer of information or power that does not require the use of physical wires
Qualitative research,scientific method of observation to gather non-numerical data
Risk analysis (engineering),Scientific assessment and study of risks
Applied psychology,application of psychological theories or findings
The Internet,global system of connected computer networks based on IP addressing and routing protocols
Selection (genetic algorithm),stage of a genetic algorithm in which individual genomes are chosen from a population for later breeding (using the crossover operator)
Computer graphics (images),"pictures and graphics, possibly animated, that are generated using computers, for transforming and compositing various sources of images or data with precise definitions of style, layout, effects, sequencing and synchronization"
Doping,intentional introduction of impurities into an intrinsic semiconductor for the purpose of modulating its electrical properties
Simple (philosophy),mereological term
Metabolism,set of chemical reactions and pathways by which living organisms transform chemical substances
Particle physics,branch of physics
Phosphorylation,"the process of introducing a phosphate group into a molecule, usually with the formation of a phosphoric ester, a phosphoric anhydride or a phosphoric amide."
Environmental planning,The field of study related to Environmental planning.
Yield (engineering),phenomenon of deformation due to structural stress
Public administration,"generic term for the administrations that perform tasks of the state, including bodies governed by public law"
Toxicity,degree to which a substance or phenomenon can damage an organism
Substrate (aquarium),material used on the tank bottom of an aquarium
Prospective cohort study,type of cohort study
Variety (cybernetics),number of states of a cybernetic system
Biomass (ecology),total mass of living organisms in a given area (all species or selected species)
Calcium,chemical element with symbol Ca and atomic number 20
Dopamine,hormone and neurotransmitter
Cytokine,broad and loose category of small proteins (~5–20 kDa) that are important in cell signaling
Hydrogen,chemical element with symbol H and atomic number 1; lightest and most abundant chemical substance in the universe
Engineering ethics,Moral principles within the field of engineering
Diffusion,net movement of molecules or atoms from a region of high concentration (or high chemical potential) to a region of low concentration (or low chemical potential)
Financial economics,branch of economics concerned with financial or monetary transactions
Cholesterol,sterol biosynthesized by all animal cells which is an essential structural component of all animal cell membranes
Dielectric,"electrically poorly conducting or non-conducting, non-metallic substance of which charge carriers are generally not free to move"
Urology,subspecialty of surgery
Natural resource economics,"supply, demand, and allocation of the Earth's natural resources"
Energy (signal processing),signal processing concept
Kidney,"internal organ in most animals, including vertebrates and some invertebrates"
Biochemical engineering,The field of study related to Biochemical engineering.
Galaxy,huge cluster of celestial bodies
Plasma,state of matter consisting of ionized gas
Theology,study of the nature of God and religious belief
Civil engineering,"engineering discipline specializing in design, construction and maintenance of the built environment"
Nitrogen,chemical element with symbol N and atomic number 7; primary component of Earth's atmosphere
Ultimate tensile strength,capacity of a material or structure to withstand loads tending to elongate; resists tension (being pulled apart); measured by the maximum stress that a material can withstand while being stretched or pulled before breaking
Class (philosophy),philosophical term denoting a group of things derived from extensional or intensional definition
Orthodontics,"specialty of dentistry that deals with the diagnosis, prevention, and correction of malpositioned teeth and jaws, and misaligned bite patterns"
Radiation therapy,therapy using ionizing radiation
Spectroscopy,interaction between matter and electromagnetic radiation broken down into frequencies
Criminology,study of the causes and manifestations of crime
Astrobiology,study of the formation of life on Earth and elsewhere
Topology (electrical circuits),form taken by the network of interconnections of a circuit
Pulp and paper industry,an industry that belongs to the secondary sector (industry) and is involved in the manufacture of paper and paperboard
Thin film,a layer of material ranging from fractions of a nanometer to several micrometers in thickness
Embryo,multicellular diploid eukaryote in its earliest stage of development
Process engineering,all technical processes in which a raw or starting material are transformed into another product by the use of chemical-physical or biological processes
Affect (linguistics),attitude or emotion of an utterance
Action (physics),physical quantity of dimension energy × time
Demographic economics,application of economic analysis to demography
Detector,device or circuit that extracts information from a modulated radio frequency current or voltage
Outbreak,sudden increase in occurrences of a disease in a particular time and place
Body mass index,measure of relative weight based on an individual's mass and height
Parallel computing,programming paradigm in which many calculations or the execution of processes are carried out simultaneously
Mitochondrion,"semiautonomous, self replicating organelle that occurs in varying numbers, shapes, and sizes in the cytoplasm of virtually all eukaryotic cells; the site of tissue respiration"
Control engineering,engineering discipline that applies automatic control theory to design systems with desired behaviors in control environments
Product (mathematics),result of multiplying
Precipitation,product of the condensation of atmospheric water vapour that falls under gravity
Physical geography,one of the two major subfields of geography
Human immunodeficiency virus (HIV),"human retrovirus, cause of AIDS"
General surgery,medical specialty
Personality,psychological characteristics of an individual
Silicon,chemical element with symbol Si and atomic number 14
Kinetics,subfield of physics
Psychometrics,study of the theory and technique of psychological measurement
Thermal,column of rising air in the lower altitudes of Earth's atmosphere
Stroke (engine),"reciprocating motion, used in reciprocating engines and other mechanisms"
Quality of life (healthcare),notion in healthcare
Retrospective cohort study,type of cohort study
Diffraction,refers to various phenomena that occur when a wave encounters an obstacle or a slit
Algebra over a field,vector space equipped with a bilinear product
Space (punctuation),"blank area that separates words, sentences, syllables, or other written or printed glyphs; precise typographical rules differ according to language and context"
Economy,"area of the production, distribution and trade, as well as consumption of goods and services by different agents"
Corporate governance,"mechanisms, processes and relations by which corporations are controlled and operated"
Computation,any type of calculation or use of computing technology in information processing
Fermentation,anaerobic enzymatic conversion of organic compounds
Andrology,medical specialty
Transmission (telecommunications),process of sending and propagating a signal
Geophysics,study of physical processes and phenomena occurring in the earth and in its vicinity
Filter (signal processing),"device or process that removes unwanted components or features from a signal, or enhances wanted ones, or both"
Mass spectrometry,analytical technique based on determining mass to charge ratio of ions
Sustainability,ability of human civilization to coexist with the biosphere in a steady state
Cohort study,form of longitudinal study
Matrix (chemical analysis),chemical analysis term; the components of a sample other than the analyte of interest
Toxicology,"branch of biology, chemistry, and medicine"
Mechanism (biology),system of causally interacting parts and processes that produce one or more effects
Agroforestry,land use management system in which trees or shrubs are grown around or among crops or pastureland
Speech recognition,automatic conversion of spoken language into text
Automotive engineering,discipline of engineering
Ancient history,aggregate of past events from the beginning of recorded human history to the Early Middle Ages
Point (geometry),fundamental object of geometry: locus within which we can distinguish no other locus than itself
Veterinary medicine,"medical speciality dealing with the diseases of animals, animal welfare, etc."
Copper,chemical element with symbol Cu and atomic number 29
Molecular physics,branch of physics
Forestry,"science and craft of creating, managing, using, conserving and repairing forests, woodlands, and associated resources for human and environmental benefits"
Cell growth,process in which a cell irreversibly increases in size over time by accretion and biosynthetic production of matter similar to that already present
Sequence (biology),"one-dimensional ordering of monomers, covalently linked within a biopolymer"
Solvent,"substance that dissolves a solute (a chemically different liquid, solid or gas), resulting in a solution"
Development economics,sub-field of economics
Raman spectroscopy,"spectroscopic technique used to observe vibrational, rotational, and other low-frequency modes in a system"
Law and economics,application of economic theory to analysis of legal systems
Altmetrics,study of alternative metrics for analyzing and informing scholarship
Feature (linguistics),any characteristic used to classify a phoneme or word
Simulation,"imitation of the operation of a real-world process or system over time, for studying either real events in many contexts or effects of alternative conditions and courses of actions"
Distribution (mathematics),mathematical analysis term similar to generalized function
Graph,mathematical structure; representation of a set of objects where some pairs of the objects are connected by links
Pathogenesis,set of biological mechanisms that account for the origin and development of a disease
Engineering physics,"study of the combined disciplines of physics, mathematics and combined with engineering studies in computer, electrical, materials or mechanical engineering"
Hippocampus,brain region correlated with memory consolidation and imagination
Arithmetic,elementary branch of mathematics
Alkyl,univalent group derived from alkanes by removal of a hydrogen atom from any carbon atom –CₙH₂ₙ₊₁
Environmental economics,sub-field of economics
