topic_name,topic_description
Tracheal Stenosis,respiratory disease
Leishmania,genus of protozoan parasites
Medical science,"field of study for diagnosing, treating and preventing disease"
Dental research,branch of medicine dealing with oral health and teeth
Logistic regression,statistical model
Colorectal cancer,cancer of the colon or rectum
Adipose tissue,loose connective tissue composed mostly of adipocytes
Complement C1q,protein complex
B cell,type of white blood cell
High-performance liquid chromatography,method
Kidney disorder,urinary system disease that is located in the kidney
GASTRIC CARDIA,digestive organ
Primate,order of mammals
BALB/c,letter of the Latin alphabet
Optic disc,part of the eye
Apoidea,superfamily of insects
Ellipsoidal coordinates,three-dimensional orthogonal coordinate system
Philosophy of medicine,branch of philosophy
Functional organization,organization
Baru,genus of reptiles
IEEE 802.11e-2005,IEEE standard version
Sympathetic nervous system,term in biology
Neoxanthin,group of compounds
Radiation therapy,therapy using ionizing radiation
Mechanical engineering,engineering discipline
Antibody,immune system protein
Industrial organization,branch of economics
Democratic theory,form of government
Skeletal muscle,one of three major muscle types
Clot formation,"process in which the coagulation factors of the blood interact, ultimately resulting a clot"
Substance abuse,patterned use of a drug in which the user consumes the psychoactive/chemical substance substances in amounts or with methods which are harmful to themselves or others
Mullite,nesosilicate mineral
Continuous flow,subdiscipline of fluid mechanics that deals with fluid flow—the natural science of fluids (liquids and gases) in motion
Acute stroke,problem with the arteries supplying blood to the brain
Community structure,concept in graph theory
Multiculturalism,political ideology
Cyclin,group of proteins
Euphausiacea,order of crustaceans
Acupuncture,form of alternative medicine
Emergency management,"discipline of dealing with and avoiding both natural and man-made disasters, with the goal of reducing the harmful effects"
Arthropod,phylum of animals
Disease control,"measures taken for disease prevention, with anticipatory actions that can be categorized as primal, primary, secondary, tertiary, and quaternary prevention"
Friction coefficient,"force resisting the relative motion of solid surfaces, fluid layers, and material elements sliding against each other"
Astrophysics,branch of astronomy
Hydroxylamine,inorganic compound
Opiate Substitution Treatment,substance abuse disorder that involves the recurring use of opioid drugs despite negative consequences
Monsoon trough,Weather phenomenon
Leptospirosis,human and animal infectious disease
Bifurcation theory,area of mathematics
Passerine,order of birds
Convex body,term in mathematics
Croatian,South Slavic language
Pulmonary hypoplasia,congenital disorder of respiratory system
Political process,The field of study related to Political process.
Gekkonidae,family of reptiles
Cityscape,art genre
Perciformes,order of fishes
Real wages,term in economics
Comparative advantage,economic theory
Child bearing,time when children develop inside the mother's body before birth
Anticancer drug,drug therapy against cancer or infections
Urinary bladder,internal organ in most animals
Blood cancer,"tumor that affect the blood, bone marrow, lymph, and lymphatic system"
Coronary artery disease,Artery disease characterized by plaque building up along the inner walls of the arteries of the heart resulting in a narrowing of the arteries and a reduced blood supply to the cardiac muscles
Ethnology,branch of anthropology
Transitional Cell,type of animal tissue
Fructose-bisphosphate aldolase,group of enzymes
Warfarin,medication used as an anticoagulant
Tetragonal crystal system,lattice point group
Tumor cells,abnormal mass of tissue as a result of abnormal growth or division of cells
Human gastrointestinal tract,organ system within humans and other animals pertaining the stomach and intestines
Aged population,biologically degenerative process that is a deterioration and loss of function over time and leads to death
Cell membrane,biological membrane separating the interior of a cell from its external environment
Linear model,type of statistical model
Expectancy theory,psychological theory
Esophageal cancer,gastrointestinal system cancer that is located in the esophagus
Thylakoid,part of a plant
Bile Duct Diseases,type of organ
Family therapy,type of psychotherapy
Minimum weight,topics referred to by the same term
Spinach,species of moth
External jugular vein,Large blood vessel
Cobalt oxide,index of chemical compounds with the same name
Genome Biology,scientific journal
Superior thyroid artery,artery
Soil structure,The field of study related to Soil structure.
Aspect-oriented programming,programming paradigm
Carbamazepine,an antiepileptic drug
Deciduous teeth,first set of teeth in diphyodonts
Carbonatite,igneous rock
Social economy,economic sector
Trichuriasis,Human helminthiasis
Taeniopygia,species of bird
Cancer staging,process of determining the extent to which a cancer has developed by spreading
Nurse practitioners,profession
Inherent viscosity,The field of study related to Inherent viscosity.
Struvite,phosphate mineral
Triazolam,Benzodiazepine class medication
Petunia,genus of flowering plants
Late modernity,Sociological concept
Ovarian cancer,female reproductive organ cancer that is located in the ovary
Oryzaephilus surinamensis,species of beetle
Pyrazolones,"any heterocyclic compound having a five-membered ring with two nitrogen heteroatoms at 1 and 2 positions, one or two double bonds and a carbonyl group"
Scorpion,order of arachnids
Working memory training,psychological term
Disease,abnormal condition negatively affecting organisms
Immune system,biological system
Optical vortex,optical phenomenon
Cellular metabolism,set of chemical reactions and pathways by which living organisms transform chemical substances
Primary cancer,spread of a disease inside a body
Asthma,long-term disease involving inflamed airways
Platelet,component of blood aiding in coagulation.
Lineation,geological structure
Phylum,taxonomic rank
Malaria,mosquito-borne infectious disease
Prostate disease,gland of the male reproductive system in most mammals
Welfare,government support intended to ensure that members of a society can meet basic human needs such as food and shelter
Spatial econometrics,statistical term
Hazardous air pollutants,"introduction of particulates, biological molecules, or other harmful materials into the Earth's atmosphere"
Diarrhoeal disease,loose or liquid bowel movements
Vasodilator agents,increase in the internal diameter of blood vessels due to relaxation of smooth muscle cells
Neuron,nervous system cells
Femtosecond,SI unit of time
Openness to experience,personality trait
Calcite,carbonate mineral
Stratosphere,layer of the atmosphere
Gas chromatography–mass spectrometry,analytical method
Left pulmonary artery,artery in the pulmonary circulation that carries deoxygenated blood from the heart to the lungs
Singular value decomposition,matrix decomposition
Chromosome abnormality,abnormal number or structure of chromosomes
Triterpene,any unsaturated hydrocarbon with structure that is a result of the assembling of six isoprene units
Blindness,decreased ability to see
Circulatory system,"three independent systems that work together: cardiovascular, pulmonary and systemic"
Radionuclide therapy,type of radiation therapy
Stokes drift,phenomenon
Elective caesarean section,surgical procedure in which a baby is delivered through a mother's abdomen
Miscarriage,natural death of an embryo or fetus before it is able to survive independently
Specification pattern,Software design pattern
Beef cattle,cattle breed
Polyproteins,biological molecule consisting of chains of amino acid residues
GiST,data structure
Glycerophospholipid,class of lipids
Annulation,type of chemical reaction
Peptic ulcer,ulcer of an area of the gastrointestinal tract
Premature birth,birth at less than a specified gestational age
Brain Structure and Function,peer-reviewed scientific journal
Collision detection,term in computer science
Hermite polynomials,polynomial sequence
BMI1,human protein (annotated by UniProtKB/TrEMBL Q5T8Z6)
Bacillales,order of bacteria
Imaging spectrometer,Scientific instrument
Marker-assisted selection,process
MEK inhibitor,drug class
Scientific publishing,literary genre
Chronic renal failure,progressive loss in kidney function over a period of months or years
Bark beetle,subfamily of insects
Liver metabolism,vital organ in vertebrates and some other animals
Colonic disease,"last part of the digestive system in vertebrate animals, including the cecum, colon, rectum, and anal canal"
Commutative ring,Algebraic structure
Waste collection,economic activity
Accelerated solvent extraction,chemical analysis method
Pentapeptide repeat,InterPro Repeat
Gum arabic,mixture
Doppler sonography,medical ultrasonography that employs the Doppler effect to generate imaging of the movement of tissues and body fluids
Sukuk,financial product
SOAP,communications protocol
Eimeria maxima,species of Conoidasida
Asplenia,congenital disorder
Dietary fat,"esters of three fatty acid chains and the alcohol glycerol, one of the three main macronutrients, also known as triglycerides"
Polynomial-time approximation scheme,complexity class
Anodic stripping voltammetry,electroanalytical method
Continuous infusion,delivery of fluids directly into the circulatory system
Philosophy of psychology,The field of study related to Philosophy of psychology.
Euryarchaeota,phylum of archaea
Navicular bone,bone of the ankle
Toxoplasmosis,parasitic disease
Environmental social science,The field of study related to Environmental social science.
Benzalkonium chloride,chemical substance
Gammaproteobacteria,class of bacteria
Spinal Cord Trauma,injury to the spine on the back side of humans
Cell biology,scientific discipline that studies cells
Immunology,branch of medicine studying the immune system
Alternative medicine,form of non-scientific healing
Nursing,activity within the health care sector
Energy metabolism,branch of biology
Breast cancer,cancer that originates in the mammary gland
Physical medicine and rehabilitation,branch of medicine
Weight control,medical condition in which individuals have an excess of body fat
Oxygen,chemical element with symbol O and atomic number 8
Fish <Actinopterygii>,class of fishes
Lung function,essential respiration organ in many air-breathing animals
Atony,Wikimedia glossary list article
Psychological health,level of psychological well-being
Ethnic community,socially defined category of people who identify with each other
Prostate cancer,male reproductive organ cancer
Learning to read,cognitive process of decoding symbols to derive meaning; a form of language processing
Transmission electron microscopy,type of microscopy
Biopsy,medical test involving extraction of sample cells or tissues for examination to determine the presence or extent of a disease
Secretion,controlled release of a substance by a cell or a tissue
Tuberculosis,infectious disease caused by the bacterium Mycobacterium tuberculosis
Electrical resistivity and conductivity,The field of study related to Electrical resistivity and conductivity.
Oxidation reduction,chemical reaction involving reduction and oxidation of different species
Neurology,medical specialty dealing with disorders of the nervous system
Neurodegeneration,central nervous system disease
Gut flora,community of microorganisms in the digestive tracts of humans
Coronavirus,subfamily of viruses
Lower critical solution temperature,material property
Josephson effect,quantum physical phenomenon
Glycolysis,metabolic pathway
BETA (programming language),object-oriented programming language
Extracellular vesicles,vesicle that is part of the extracellular region
Saline,"saline water for medical purposes, including both normal saline (isotonic saline solution) and hypertonic saline solution"
Serine,amino acid
Nursing records,systematic documentation of a single patient's medical history and care across time
Nanorod,nanomaterial
Bipolar disorder,human mental illness characterized by mood changes
Alkali metal,group of chemical elements
Electronic database,database providing an authoritative source of bibliographic information
Hearing problems,form of hearing disorder
Urban policy,technical and political process concerned with the use of land and design of the urban environment
Organizational change,study of human behavior in organizational settings
Deci-,prefix denoting 10 to the −1st power
Pharmaceutical sciences,"science that studies the chemical, pharmacological and pharmaceutical properties of drugs"
Head and neck surgery,"surgical subspeciality concerned with ear, nose, and throat conditions"
Prosthesis,artificial device that replaces a missing body part
Public transport,shared transportation service for use by the general public
Family conflict,"strong, deep, or close association or acquaintance between two or more people"
Threatened species,IUCN conservation category
Abortion,intentional ending of a pregnancy
Spatial change,"formal techniques which study entities using their topological, geometric, or geographic properties"
Genetic linkage,tendency of DNA sequences that are close together on a chromosome to be inherited together
Oral administration,route of administration where a substance is taken through the mouth
Language education,process and practice of acquiring a language
Statistical model,type of mathematical model
Climax,figure of speech
Electron transport chain,A process in which a series of electron carriers operate together to transfer electrons from donors to any of several different terminal electron acceptors to generate a transmembrane electrochemical gradient.
Aldosterone,hormone
Pharmacotherapy,medical treatment
Computer simulation,"simulation, run on a single computer, or a network of computers, to reproduce behavior of a system; modeling a real physical system in a computer"
Abdominal hysterectomy,surgical removal of the uterus
Lowry protein assay,biochemical laboratory technique
Vocational education,studies that prepares a person for a specific occupation
Double blind,experiment in which information about the test is masked to reduce bias
Breathing,process that moves air in and out of the lungs
Multi-touch,technology
Online machine learning,method of machine learning
Pain medicine,branch of medicine employing an interdisciplinary approach for easing the suffering and improving the quality of life of those living with chronic pain
Low-pass filter,"filter that passes signals with a frequency lower than a certain cutoff frequency, and attenuates signals with higher frequencies"
Weibull distribution,continuous probability distribution
Linear particle accelerator,type of particle accelerator
Shear flow,The field of study related to Shear flow.
Power function,mathematical operation
Anaphylactic shock,severe allergic reaction
Bone tissue,rigid organ that constitutes part of the endoskeleton of vertebrates
Fine-needle aspiration,"diagnostic procedure to investigate lumps using a thin needle, for histopathology or cytopathology"
Hip replacement,surgery replacing hip joint with prosthetic implant
Media campaign,media technologies that are intended to reach a large audience by mass communication
Clostridium,genus of prokaryotes
English vocabulary,West Germanic language
Water pollution,contamination of water bodies
Berry connection and curvature,concept in physics
Culex quinquefasciatus,species of mosquito
Consensus algorithm,concept in computer science
Water transport,"transportation on water surface or through water entity, using watercrafts"
Alcohol use disorder,broad term for problems with alcohol
Chronic myeloid leukaemia,myeloid leukemia that is characterized by over production of white blood cells
Colectomy,bowel resection of the colon
Atmospheric radiative transfer codes,mathematical model
Cepheid variable,type of variable star
Wi-Fi array,company
Stress concentration,The field of study related to Stress concentration.
Schizoaffective disorder,Mental Disorder
T helper cell,type of immune cell
Serum glucose,glucose concentration in blood
Ethical theory,"branch of philosophy that systematizes, defends, and recommends concepts of right and wrong conduct"
Clinical chemistry,area of clinical pathology that is generally concerned with analysis of bodily fluids
Riccati equation,type of differential equation
Drug toxicity,"unintended effect of drugs, which may occur following a single dose or prolonged administration of a drug or result from the combination of different drugs"
Linear correlation,"any statistical relationship, whether causal or not, between two random variables or bivariate data"
Investment performance,The field of study related to Investment performance.
Manganite,hydroxide mineral
Atenolol,beta blocker medication primarily used to treat high blood pressure
Fokker–Planck equation,partial differential equation
Salmonella typhi,subspecies of bacterium
Generalized assignment problem,combinatorial optimization problem
Transform coding,data compression
Severe burn,"injury to flesh or skin, often caused by excessive heat"
Text recognition,computer recognition of visual text
Secretary problem,mathematical problem
Pemphigus foliaceus,autoimmune blistering disease
Left main bronchus,airway in the respiratory tract
Physical vapor deposition,term in physics
Monozygotic twin,one of two offspring produced in the same pregnancy. Use with P31 on items for one twin
Unborn child,process in which an embryo and later fetus develops during gestation
K-type main-sequence star,stellar classification
Enstatite,pyroxene mineral
Blast disease,plant-pathogenic fungus
Modified starch,thickening agent
Gauss–Kronrod quadrature formula,numerical integration method
Ethical values,"personal value, basis for ethical action"
Equity capital markets,The field of study related to Equity capital markets.
Bovine milk,white liquid produced by the mammary glands of mammals
Urban space,human settlement with high population density and infrastructure of built environment
Cluster headache,neurological disorder
X-ray laser,type of laser
Protein malnutrition,malnutrition defined as a range of pathological conditions arising from lack of dietary protein and energy
Earthquake resistance,interdisciplinary branch of engineering
Chiral column chromatography,chemical separation technique
Grossman,family name
Balance test,disturbance that causes an individual to feel unsteady
Vulcanian eruption,type of volcanic eruption
Armour,anatomical feature
Spondyloarthropathy,joint disease of the vertebral column
Efficient XML Interchange,file format
Chinese americans,ethnic group
Vacuum state,quantum state with the lowest possible energy
Asynchrony (computer programming),Computer programming technique
Onlap,geological phenomenon
Dual-phase steel,type of steel
Adobe,building material
Exponential integrator,class of numerical methods for the solution of ordinary differential equations
Psychotropic drug,chemical substance that affects brain function or perception
Jigsaw,teaching method
Horizontal resolution,unit of measurement
Subdural Hematomas,hematoma usually associated with traumatic brain injury
Vehicle accident,"collision of a vehicle with another vehicle, pedestrian, animal, or other object"
Transport policy,human-directed movement of things or people between locations
Chinese financial system,economy of the country
TCP Vegas,TCP congestion avoidance algorithm
Precancerous lesion,"cellular proliferation that results in abnormal growths in the body, which do not invade or destroy the surrounding tissue, but in time will transform into a cancer"
Entry inhibitor,class of antiretroviral drugs used in treatment of HIV
Reachability,graph theory
Routing (electronic design automation),stage of electronic circuit design
Tropical Asia,region of Asia
12-bit,Computer architecture bit width
Deep hole drilling,The field of study related to Deep hole drilling.
Rolling mill,metalworking process
Ilya,male given name
Nasal bone,facial bone
Foreign Corrupt Practices Act,United States federal law
Noise effects,The field of study related to Noise effects.
Optical coherence tomography,imaging technique
Network dynamics,research field
Lutetium,element with the atomic number of 71
Amoeba (genus),genus of Protozoa
Diagnostic equipment,any device intended to be used for medical purposes
Engineering,applied science
Polymer,substance composed of macromolecules with repeating structural units
Intensive care medicine,"medical care subspecialty, treating critically ill"
Exercise therapy,health profession that aims to address the illnesses or injuries that limit a person's abilities to function in everyday lives
Management strategy,"administration of an organization, including activities to set the strategy of an organization and coordinate employees to accomplish its objectives"
Mathematical optimization,study of mathematical algorithms for optimization problems
Cell,the basic structural and functional unit of all organisms
DNA,molecule that encodes the genetic instructions used in the development and functioning of all known living organisms and many viruses
Mathematics education,"mathematics teaching, learning and scholarly research"
Antibiotics,drug used in the treatment and prevention of bacterial infections
Agriculture,"cultivation of life forms for food, fiber, biofuel and other products used to sustain life"
Dermatologic surgery,"branch of medicine dealing with the hair, nails, skin, and their diseases"
Insulin,biosynthetic insulin used as injectable medication
Right ventricular failure,condition in which the heart is unable to provide sufficient pump action
Emergency medicine,medical specialty concerned with care for patients who require immediate medical attention
Cholesterol,sterol biosynthesized by all animal cells which is an essential structural component of all animal cell membranes
Nitrogen,chemical element with symbol N and atomic number 7; primary component of Earth's atmosphere
Cognitive decline,"long-term brain disorder causing personality changes and impaired memory, reasoning, and social function"
Graph,mathematical structure; representation of a set of objects where some pairs of the objects are connected by links
Peptide,natural biological or artificially manufactured short chains of amino acid monomers linked by peptide (amide) bonds
Warm ischemia,"restriction in blood supply to tissues, causing a shortage of oxygen and glucose"
Lung cancer,cancer in the lung
Heat flow,transport of thermal energy in physical systems
Intermediate host,organism that harbors another organism
Fuzzy transportation,system for reasoning about vagueness
Mold,diverse group of fungi
Acute Radiation Syndrome,health problems caused by exposure to very high levels of ionizing radiation
Rehabilitation,The field of study related to Rehabilitation.
Hemodynamics,dynamics of blood flow
Microwave,form of electromagnetic radiation
Poverty,lack of a certain amount of material possessions or money
Hepatocellular carcinoma,liver carcinoma that has material basis in undifferentiated hepatocytes
Regional science,science
Bone age,biological term
Allergy,immune system response to a substance that most people tolerate well
Phosphate,salts or esters of phosphoric acid
Malignancy,"medical description of a continuously destructive illness; tendency of a medical condition to become progressively worse; characterization of cancer, characterized by anaplasia, invasiveness, and metastasis"
Pathogenic organism,"biological entity that causes disease in its host, which is typically an infectious microorganism or agent, such as a virus, bacterium, protozoan, prion, viroid, or fungus"
Shapley value,concept in game theory
Refractory anemia,decrease in number of red blood cells
Pancreatic function,glandular organ that plays a role in the digestive and endocrine systems of vertebrates
Protease,"hydrolases found in the venoms of cephalopods, hymenopterans, remipedes, reptiles, and mammals. Effects: prevention of blood coagulation, and the causing of vasodilation, smooth muscle contraction, pain, and inflammation."
Computed tomography,medical imaging procedure using X-rays to produce cross-sectional images
Wind speed,measure
Chemical vapor deposition,chemical process used in the semiconductor industry to produce thin films
Pancreatic cancer,endocrine gland cancer located in the pancreas
Cerebrospinal fluid,clear colorless bodily fluid found in the brain and spine
Superpartner,hypothetical elementary particle
Cerebellum,region of the brain that coordinates motor functions and muscle tone
Antiretroviral therapy,medical management of HIV/AIDS
Liver disease,disorder of the human liver
Generalist and specialist species,Wikipedia article covering multiple topics
Respiratory monitoring,method to mechanically assist or replace spontaneous breathing
Endoscopic surgery,used in medicine to examine the interior of a hollow organ or cavity of the body
Thermal ablation,"removal of material from the surface of an object by vaporization, chipping, or other erosive processes"
Brain trauma,condition caused by an external force which has traumatically injured the brain
Unemployment,state when people are without work and actively seeking work
Glaucoma,eye disease that is characterized by an unstable or a sustained increase in the intraocular pressure which the eye cannot withstand without damage to its structure or impairment of its function
Edema,abnormal accumulation of fluid in the interstitium
Graphene nanoribbons,carbon allotrope
Anorexia,medical symptom
Percutaneous coronary intervention,medical techniques used to manage coronary occlusion
Urinary Bladder Cancer,urinary system cancer that results in malignant growth located in the urinary bladder
Chronic Migraine,disorder resulting in recurrent moderate-severe headaches
Palliative care,area of healthcare that focuses on relieving and preventing the suffering of patients
Hepatitis,inflammation of the liver tissue
Cancer surgery,medical specialty concerned with treatment of cancer through surgery
Esophagus,organ in vertebrates
Science learning,field concerned with sharing science content and process
Mental illness,behavioral or mental pattern that causes significant distress or impairment of personal functioning
Gibberellin,class of plant hormones
Waist,body part
Menopause,when menstrual periods stop permanently
Nusselt number,characteristic number for heat transfer into a body
Health plan,"policy area, which deals with the planning, organization, management and financing of the health system"
Bone marrow transplantation,medical procedure to replace bone marrow stem cells
Venous thrombosis,blood clot (thrombus) that forms within a vein
Household waste,type of waste
Blood transfusion,generally the process of receiving blood or blood products into one's circulation intravenously
Bone density,amount of bone mineral in bone tissue
Control valves,device used to regulate fluid flow
3d printer,additive process used to make a three-dimensional object
Abdominal pain,stomach aches
Permanent magnet motor,Type of electric motor
Autocorrelation,The field of study related to Autocorrelation.
Immunoassay,biochemical test
Common carotid artery,An artery
Alkali feldspar,mineral group
Knee surgery,region around the kneecap
Geographic information system,spatial data information systems
Meningitis,inflammation of membranes around the brain and spinal cord
Lithography,printing technique
Theory of computation,subfield of computer science
Vascular resistance,resistance that must be overcome to push blood through the circulatory system and create flow
Stochastic process,mathematical object usually defined as a collection of random variables
Mitral valve,valve in the heart connecting the left atrium and left ventricle
Cardiopulmonary resuscitation,emergency procedure to maintain the blood flow to vital organs and to restore normal heart function after sudden cardiac arrest
Hamster,subfamily of mammals
Amputation,"removal of a body extremity by trauma, prolonged constriction, or surgery"
Plant physiology,subdiscipline of botany
Pelvis,lower part of the trunk of the human body between the abdomen and the thighs (sometimes also called pelvic region of the trunk
Montmorillonite,"smectite, phyllosilicate mineral"
Branching (polymer chemistry),copolymer
Turkish,Turkic language
Machine translation system,use of software for language translation
Predictive testing,medical testing related to genetic disorders
Very low-density lipoprotein,one of the five major groups of lipoprotein
Cellular radio,portable device to make telephone calls using a radio link
Human papillomavirus,infection caused by the human papillomavirus (HPV)
Histone H2A,one of the five main histone proteins
Dermis,"layer of skin between the epidermis (with which it makes up the cutis) and subcutaneous tissues, that primarily consists of dense irregular connective tissue and cushions the body from stress and strain"
Skin Aging,the outer covering of the human body
Childbirth,physiological process of expelling a fetus from the pregnant mother's uterus
Chylous ascites,abnormal buildup of fluid in the abdomen
Local government,lowest tier of administration within a given state
Catheter ablation,minimally-invasive procedure used to remove or terminate a faulty electrical pathway from sections of the hearts
Bonding strength,strength of a chemical bond
Immune tolerance,failure of a normally responsive individual to make an immune response to a known antigen
Mononeuropathy,nervous system disease located in nerves or nerve cells
Energy expenditure,biological process of regulation of food intake and energy expenditure
Outsourcing,contracting out of an internal business process to a third-party organization
Classical conditioning,learning procedure in which biologically potent stimulus is paired with a neutral stimulus
Anticoagulant therapy,"chemical substances that prevent or reduce coagulation of blood, prolonging the clotting time"
Ectomycorrhizae,non-penetrative symbiotic association between a fungus and the roots of a vascular plant
Respiratory failure,inadequate gas exchange by the respiratory system
Cardiothoracic surgery,medical specialty involved in surgical treatment of organs inside the thorax
Binding constant,chemical property
Harmonic Vector Excitation Coding,audio compression standard
Spontaneous intracerebral hemorrhage,type of intracranial hemorrhage that occurs within the brain tissue itself
Cultural heritage,physical artifact or intangible attribute of a society inherited from past generations
Vagus nerve,tenth cranial nerve
Cournot competition,economic model
Atropine,racemic mixture
Sarcoidosis,Disease characterized by the growth of collections of inflammatory cells (granulomas) in multiple organs
Inorganic ions,class of ions
Liver function tests,groups of blood tests that give information about the state of a patient's liver
Sleep Stages,"any process in which an organism enters and maintains a periodic, readily reversible state of reduced awareness and metabolic activity"
Memory impairment,"cognitive disorder where the memory is disturbed or lost and involves the loss of memories previously established, loss of the ability to create new memories, continuous high blood pressure and severe shock may also caused amnesia"
Clastic rock,type of sedimentary rock
Human breast,region of the torso of a primate containing the mammary gland
Android (operating system),open-source operating system for mobile devices created by Google
Craving,group of symptoms that occur upon the abrupt discontinuation or decrease in intake of medications or recreational drugs
Female urethra,tube that connects the urinary bladder to the external urethral orifice
Devonian,fourth period of the Paleozoic era
Proximal humerus,long bone of the upper arm
Voltage doubler,electronic circuit
Thermal radiation,electromagnetic radiation generated by the thermal motion of charged particles in matter
Stochastic modelling,The field of study related to Stochastic modelling.
Functional mitral regurgitation,disorder of the heart in which the mitral valve does not close properly when the heart pumps out blood
Cost analysis,systematic approach to estimating the strengths and weaknesses of alternatives
Nonunion,permanent failure of healing following a broken bone
Hospital care,"health care facility, for individual buildings use hospital building, for organizations use medical organization"
Superior colliculus,structure in the mammalian midbrain
Cardiac myocyte,muscular tissue of heart
Mantle wedge,term in Geology
Petroleum reservoir,reservoir rock filled with hydrocarbons
Coronary artery bypass surgery,surgical procedure to restore normal blood flow to an obstructed coronary artery
Tone mapping,image processing technique
Soil fungi,Soil micro organisms
Granulite,metamorphic rock
Mediastinum,central compartment of the thoracic cavity that separates the lungs
Bamboo,subfamily of plants
Residence time (fluid dynamics),probability distribution function that describes the amount of time an element remains within a body
Cuttlefish,order of molluscs
Species groups,informal grouping of taxa
Plasma concentration,common human medical data ranges for blood test results
